STATE,EVENT_TYPE_CLEANED,YEAR,EVENT_TYPE_CLEANED,INJURIES_DIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY
ALABAMA,Draught,1998,2,0,0,0,2500.0
ALABAMA,Draught,1999,6,0,0,0,250.0
ALABAMA,Draught,2000,6,0,0,0,25000.0
ALABAMA,Draught,2004,2,0,0,0,0.0
ALABAMA,Draught,2006,112,0,0,0,605310.0
ALABAMA,Draught,2007,464,0,0,0,63244060.0
ALABAMA,Draught,2008,364,0,0,0,81226370.0
ALABAMA,Draught,2010,108,0,0,0,10938000.0
ALABAMA,Draught,2011,295,0,0,0,49190750.0
ALABAMA,Draught,2012,239,0,0,0,8253310.0
ALABAMA,Draught,2013,43,0,0,0,805000.0
ALABAMA,Draught,2016,284,0,0,0,39254280.0
ALABAMA,Draught,2017,93,0,0,0,1595430.0
ALABAMA,Draught,2018,44,0,0,0,250537870.0
ALABAMA,Draught,2019,44,0,0,0,50000.0
ALABAMA,Extreme Temperature,1996,70,0,1,0,920280.0
ALABAMA,Extreme Temperature,1997,13,1,0,0,252500.0
ALABAMA,Extreme Temperature,1998,27,0,2,0,305000.0
ALABAMA,Extreme Temperature,1999,43,0,3,0,3553030.0
ALABAMA,Extreme Temperature,2000,87,0,4,0,51622750.0
ALABAMA,Extreme Temperature,2001,24,0,0,0,752500.0
ALABAMA,Extreme Temperature,2002,39,0,0,0,550000.0
ALABAMA,Extreme Temperature,2003,48,0,1,0,682500.0
ALABAMA,Extreme Temperature,2004,8,0,0,0,250000.0
ALABAMA,Extreme Temperature,2005,12,0,3,0,302500.0
ALABAMA,Extreme Temperature,2006,2,0,0,0,25000.0
ALABAMA,Extreme Temperature,2007,149,31,12,1,29067780.0
ALABAMA,Extreme Temperature,2008,36,3,0,0,75250.0
ALABAMA,Extreme Temperature,2009,31,2,0,0,2855250.0
ALABAMA,Extreme Temperature,2010,67,5,1,0,8080000.0
ALABAMA,Extreme Temperature,2011,39,2,1,0,352750.0
ALABAMA,Extreme Temperature,2012,232,4,7,0,28292590.0
ALABAMA,Extreme Temperature,2013,19,0,0,0,5852500.0
ALABAMA,Extreme Temperature,2014,28,0,0,0,1527500.0
