,,,INJURIES_DIRECT,INJURIES_DIRECT,DEATHS_DIRECT,DEATHS_DIRECT,DEATHS_INDIRECT,DEATHS_INDIRECT,DAMAGE_PROPERTY,DAMAGE_PROPERTY
,,,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum,count_nonzero,sum
STATE,EVENT_TYPE,YEAR,,,,,,,,
ALABAMA,Drought,1998,0,0,0,0,0,0,1,2500.0
ALABAMA,Drought,1999,0,0,0,0,0,0,1,250.0
ALABAMA,Drought,2000,0,0,0,0,0,0,1,25000.0
ALABAMA,Drought,2004,0,0,0,0,0,0,0,0.0
ALABAMA,Drought,2006,0,0,0,0,0,0,20,605310.0
ALABAMA,Drought,2007,0,0,0,0,0,0,87,63244060.0
ALABAMA,Drought,2008,0,0,0,0,0,0,72,81226370.0
ALABAMA,Drought,2010,0,0,0,0,0,0,21,10938000.0
ALABAMA,Drought,2011,0,0,0,0,0,0,68,49190750.0
ALABAMA,Drought,2012,0,0,0,0,0,0,48,8253310.0
ALABAMA,Drought,2013,0,0,0,0,0,0,7,805000.0
ALABAMA,Drought,2016,0,0,0,0,0,0,67,39254280.0
ALABAMA,Drought,2017,0,0,0,0,0,0,33,1595430.0
ALABAMA,Drought,2018,0,0,0,0,0,0,14,250537870.0
ALABAMA,Drought,2019,0,0,0,0,0,0,2,50000.0
ALABAMA,Flash Flood,1996,2,2,1,1,0,0,6,280280.0
ALABAMA,Flash Flood,1997,0,0,0,0,0,0,8,330500.0
ALABAMA,Flash Flood,1998,1,2,4,7,0,0,20,3470000.0
ALABAMA,Flash Flood,1999,1,1,1,1,0,0,15,5860280.0
ALABAMA,Flash Flood,2000,0,0,0,0,0,0,8,357500.0
ALABAMA,Flash Flood,2001,1,4,0,0,0,0,13,3587500.0
ALABAMA,Flash Flood,2002,0,0,0,0,0,0,10,7852530.0
ALABAMA,Flash Flood,2003,1,1,1,1,0,0,31,10558000.0
ALABAMA,Flash Flood,2004,0,0,1,1,0,0,51,10623310.0
ALABAMA,Flash Flood,2005,1,1,1,1,0,0,34,6870780.0
ALABAMA,Flash Flood,2006,0,0,0,0,0,0,13,8535250.0
ALABAMA,Flash Flood,2007,0,0,0,0,0,0,9,425250.0
ALABAMA,Flash Flood,2008,0,0,1,1,0,0,16,3115090.0
ALABAMA,Flash Flood,2009,1,1,2,3,0,0,37,29671000.0
ALABAMA,Flash Flood,2010,1,3,0,0,0,0,20,7315030.0
ALABAMA,Flash Flood,2011,0,0,0,0,0,0,19,31363000.0
ALABAMA,Flash Flood,2012,0,0,0,0,0,0,17,3777500.0
ALABAMA,Flash Flood,2013,0,0,0,0,0,0,26,29490060.0
ALABAMA,Flash Flood,2014,1,1,1,1,0,0,13,26605000.0
ALABAMA,Flash Flood,2015,0,0,1,1,0,0,28,82410340.0
ALABAMA,Flash Flood,2016,0,0,0,0,0,0,9,803030.0
ALABAMA,Flash Flood,2017,0,0,0,0,0,0,37,9127840.0
ALABAMA,Flash Flood,2018,1,1,0,0,0,0,15,7100030.0
ALABAMA,Flash Flood,2019,2,3,2,2,0,0,10,2577650.0
ALABAMA,Flash Flood,2020,0,0,1,1,0,0,30,3695250.0
ALABAMA,Flash Flood,2021,0,0,7,8,0,0,33,29640310.0
ALABAMA,Flash Flood,2022,1,1,2,4,0,0,17,1610530.0
ALABAMA,Flood,1996,0,0,0,0,0,0,0,0.0
ALABAMA,Flood,1998,0,0,0,0,0,0,0,0.0
ALABAMA,Flood,2001,0,0,0,0,0,0,0,0.0
ALABAMA,Flood,2003,0,0,0,0,0,0,9,650030.0
ALABAMA,Flood,2004,0,0,0,0,0,0,4,77500.0
ALABAMA,Flood,2005,0,0,0,0,0,0,7,577750.0
ALABAMA,Flood,2006,0,0,0,0,0,0,1,25000.0
ALABAMA,Flood,2008,0,0,0,0,0,0,2,50000.0
ALABAMA,Flood,2009,0,0,0,0,0,0,8,3080000.0
ALABAMA,Flood,2010,0,0,0,0,0,0,3,525000.0
ALABAMA,Flood,2011,0,0,0,0,0,0,4,325000.0
ALABAMA,Flood,2012,0,0,0,0,0,0,0,0.0
ALABAMA,Flood,2013,0,0,0,0,0,0,11,25877530.0
ALABAMA,Flood,2014,0,0,1,1,0,0,6,352500.0
ALABAMA,Flood,2015,0,0,2,3,0,0,5,302750.0
ALABAMA,Flood,2016,0,0,0,0,0,0,1,250.0
ALABAMA,Flood,2017,0,0,0,0,0,0,4,77500.0
ALABAMA,Flood,2018,0,0,0,0,0,0,14,3357810.0
ALABAMA,Flood,2019,0,0,0,0,0,0,23,1090030.0
ALABAMA,Flood,2020,1,1,0,0,0,0,7,505530.0
ALABAMA,Flood,2021,0,0,0,0,0,0,2,252500.0
ALABAMA,Flood,2022,0,0,0,0,0,0,4,302500.0
ALABAMA,Hail,1955,0,0,0,0,0,0,9,25377750.0
ALABAMA,Hail,1956,0,0,0,0,0,0,4,775000.0
ALABAMA,Hail,1957,0,0,0,0,0,0,5,77750.0
ALABAMA,Hail,1958,0,0,0,0,0,0,8,3080000.0
ALABAMA,Hail,1959,0,0,0,0,0,0,4,2530000.0
ALABAMA,Hail,1960,0,0,0,0,0,0,3,25500.0
