ID,Planet,Mass,Diameter,Density,Gravity,Escape Velocity,Rotation Period,Length of Day,Rel. Distance from Sun,Perihelion,Aphelion,Orbital Period,Orbital Velocity,Orbital Eccentricity,Obliquity to Orbit,Surface Pressure,Number of Moons,Ring System?,Global Magnetic Field?,Weight of 200 lbs Person
1,EARTH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,No,Yes,200
2,MERCURY,0.0553,0.383,0.985,0.378,0.384,58.8,175.9,0.39,0.313,0.459,0.241,1.59,12.3,0.001,0,0,No,Yes,75.6
3,VENUS,0.815,0.949,0.951,0.907,0.926,-244,116.8,0.72,0.731,0.716,0.615,1.18,0.401,0.113*,92,0,No,No,181.4
4,MOON,0.0123,0.2724,0.606,0.166,0.213,27.4,29.5,0,0.00247*,0.00267*,0.0748*,0.0343*,3.29,0.285,0,0,No,No,33.2
5,MARS,0.107,0.532,0.714,0.377,0.45,1.03,1.03,1.52,1.41,1.64,1.88,0.808,5.6,1.07,0.01,2,No,No,75.4
6,JUPITER,317.8,11.21,0.241,2.36,5.32,0.415,0.414,5.2,5.04,5.37,11.9,0.439,2.93,0.134,Unknown*,79,Yes,Yes,472
7,SATURN,95.2,9.45,0.125,0.916,3.17,0.445,0.444,9.57,9.23,9.91,29.4,0.325,3.38,1.14,Unknown*,82,Yes,Yes,183.2
8,URANUS,14.5,4.01,0.23,0.889,1.9,-0.72,0.718,19.17,18.58,19.73,83.7,0.228,2.74,4.17*,Unknown*,27,Yes,Yes,177.8
9,NEPTUNE,17.1,3.88,0.297,1.12,2.1,0.673,0.671,30.18,30.4,29.97,163.7,0.182,0.677,1.21,Unknown*,14,Yes,Yes,224
10,PLUTO,0.0022,0.187,0.336,0.071,0.116,6.41,6.39,39.48,30.16,48.49,247.9,0.157,14.6,2.45*,1.00E-05,5,No,Unknown,14.2
