,BEGIN_YEARMONTH,BEGIN_DAY,STATE,EVENT_TYPE,DAMAGE_CROPS
0,195004,28,OKLAHOMA,Tornado,0
1,195004,29,TEXAS,Tornado,0
2,195007,5,PENNSYLVANIA,Tornado,0
3,195007,5,PENNSYLVANIA,Tornado,0
4,195007,24,PENNSYLVANIA,Tornado,0
5,195008,29,PENNSYLVANIA,Tornado,0
6,195011,4,PENNSYLVANIA,Tornado,0
7,195011,4,PENNSYLVANIA,Tornado,0
8,195009,15,OKLAHOMA,Tornado,0
9,195009,16,OKLAHOMA,Tornado,0
10,195010,1,OKLAHOMA,Tornado,0
11,195006,22,NEBRASKA,Tornado,0
12,195002,27,OKLAHOMA,Tornado,0
13,195003,27,OKLAHOMA,Tornado,0
14,195004,2,OKLAHOMA,Tornado,0
15,195004,3,OKLAHOMA,Tornado,0
16,195004,28,OKLAHOMA,Tornado,0
17,195004,28,OKLAHOMA,Tornado,0
18,195004,28,OKLAHOMA,Tornado,0
19,195004,28,OKLAHOMA,Tornado,0
20,195005,4,OKLAHOMA,Tornado,0
21,195005,4,OKLAHOMA,Tornado,0
22,195005,4,OKLAHOMA,Tornado,0
23,195005,7,OKLAHOMA,Tornado,0
24,195005,7,OKLAHOMA,Tornado,0
25,195005,7,OKLAHOMA,Tornado,0
26,195003,27,MISSISSIPPI,Tornado,0
27,195003,27,MISSISSIPPI,Tornado,0
28,195003,27,MISSISSIPPI,Tornado,0
29,195003,27,MISSISSIPPI,Tornado,0
30,195004,29,MISSISSIPPI,Tornado,0
31,195001,26,TEXAS,Tornado,0
32,195002,11,TEXAS,Tornado,0
33,195002,11,TEXAS,Tornado,0
34,195002,11,TEXAS,Tornado,0
35,195002,12,TEXAS,Tornado,0
36,195002,12,TEXAS,Tornado,0
37,195002,12,TEXAS,Tornado,0
38,195002,12,TEXAS,Tornado,0
39,195002,12,TEXAS,Tornado,0
40,195004,28,TEXAS,Tornado,0
41,195005,4,TEXAS,Tornado,0
42,195005,14,TEXAS,Tornado,0
43,195005,15,TEXAS,Tornado,0
44,195007,11,NEW MEXICO,Tornado,0
45,195008,2,NEW MEXICO,Tornado,0
46,195005,1,MISSISSIPPI,Tornado,0
47,195005,1,MISSISSIPPI,Tornado,0
48,195006,3,MISSISSIPPI,Tornado,0
49,195002,12,ARKANSAS,Tornado,0
50,195002,12,ARKANSAS,Tornado,0
51,195003,26,ARKANSAS,Tornado,0
52,195001,3,MISSOURI,Tornado,0
53,195006,9,MISSOURI,Tornado,0
54,195006,15,MISSOURI,Tornado,0
55,195007,19,MISSOURI,Tornado,0
56,195003,27,MISSISSIPPI,Tornado,0
57,195003,27,MISSISSIPPI,Tornado,0
58,195003,27,MISSISSIPPI,Tornado,0
59,195003,27,MISSISSIPPI,Tornado,0
60,195005,9,OKLAHOMA,Tornado,0
61,195005,11,OKLAHOMA,Tornado,0
62,195005,16,OKLAHOMA,Tornado,0
63,195005,22,OKLAHOMA,Tornado,0
64,195005,24,OKLAHOMA,Tornado,0
65,195005,29,OKLAHOMA,Tornado,0
66,195006,9,OKLAHOMA,Tornado,0
67,195002,12,MISSISSIPPI,Tornado,0
68,195002,12,MISSISSIPPI,Tornado,0
69,195003,1,MISSISSIPPI,Tornado,0
70,195005,8,NEBRASKA,Tornado,0
71,195005,18,NEBRASKA,Tornado,0
72,195006,13,NEBRASKA,Tornado,0
73,195007,15,NEBRASKA,Tornado,0
74,195009,21,NEBRASKA,Tornado,0
75,195007,12,CONNECTICUT,Tornado,0
76,195011,20,MISSISSIPPI,Tornado,0
77,195008,30,FLORIDA,Tornado,0
78,195008,31,FLORIDA,Tornado,0
79,195005,12,NORTH CAROLINA,Tornado,0
80,195005,12,NORTH CAROLINA,Tornado,0
81,195005,14,NORTH CAROLINA,Tornado,0
82,195005,14,NORTH CAROLINA,Tornado,0
83,195005,31,NORTH CAROLINA,Tornado,0
84,195007,26,NORTH CAROLINA,Tornado,0
85,195007,27,NORTH CAROLINA,Tornado,0
86,195010,9,NORTH CAROLINA,Tornado,0
87,195005,12,NORTH CAROLINA,Tornado,0
88,195004,2,ARKANSAS,Tornado,0
89,195004,18,ALABAMA,Tornado,0
90,195003,26,ARKANSAS,Tornado,0
91,195003,26,ARKANSAS,Tornado,0
92,195003,26,ARKANSAS,Tornado,0
93,195011,20,KENTUCKY,Tornado,0
94,195011,20,KENTUCKY,Tornado,0
95,195003,26,ARKANSAS,Tornado,0
96,195003,26,ARKANSAS,Tornado,0
97,195003,16,FLORIDA,Tornado,0
98,195005,8,FLORIDA,Tornado,0
99,195005,15,FLORIDA,Tornado,0
100,195005,15,FLORIDA,Tornado,0
101,195004,2,ARKANSAS,Tornado,0
102,195008,24,ARKANSAS,Tornado,0
103,195012,2,ARKANSAS,Tornado,0
104,195008,11,MARYLAND,Tornado,0
105,195006,15,MINNESOTA,Tornado,0
