STATE,YEAR,Tornado Count,Deaths Direct Count
ALABAMA,1950,2,0
ALABAMA,1951,5,0
ALABAMA,1952,13,3
ALABAMA,1953,22,4
ALABAMA,1954,10,0
ALABAMA,1955,8,1
ALABAMA,1956,7,1
ALABAMA,1957,51,4
ALABAMA,1958,23,1
ALABAMA,1959,9,0
ALABAMA,1960,11,0
ALABAMA,1961,24,0
ALABAMA,1962,11,0
ALABAMA,1963,22,2
ALABAMA,1964,26,2
ALABAMA,1965,11,0
ALABAMA,1966,11,1
ALABAMA,1967,26,3
ALABAMA,1968,14,1
ALABAMA,1969,15,1
ALABAMA,1970,14,1
ALABAMA,1971,23,2
ALABAMA,1972,16,1
ALABAMA,1973,53,5
ALABAMA,1974,55,12
ALABAMA,1975,35,2
ALABAMA,1976,30,0
ALABAMA,1977,22,2
ALABAMA,1978,22,0
ALABAMA,1979,26,0
ALABAMA,1980,29,0
ALABAMA,1981,14,1
ALABAMA,1982,28,0
ALABAMA,1983,49,2
ALABAMA,1984,46,1
ALABAMA,1985,48,1
ALABAMA,1986,20,1
ALABAMA,1987,7,1
ALABAMA,1988,20,0
ALABAMA,1989,25,1
ALABAMA,1990,19,0
ALABAMA,1991,10,1
ALABAMA,1992,28,1
ALABAMA,1993,8,0
ALABAMA,1994,19,1
ALABAMA,1995,35,2
ALABAMA,1996,37,3
ALABAMA,1997,30,1
ALABAMA,1998,57,2
ALABAMA,1999,23,0
ALABAMA,2000,52,3
ALABAMA,2001,63,3
ALABAMA,2002,44,5
ALABAMA,2003,45,0
ALABAMA,2004,65,1
ALABAMA,2005,86,0
ALABAMA,2006,74,1
ALABAMA,2007,50,2
ALABAMA,2008,112,3
ALABAMA,2009,91,1
ALABAMA,2010,46,0
ALABAMA,2011,217,28
ALABAMA,2012,67,3
ALABAMA,2013,28,0
ALABAMA,2014,67,1
ALABAMA,2015,35,0
ALABAMA,2016,76,2
ALABAMA,2017,68,0
ALABAMA,2018,56,0
ALABAMA,2019,94,2
ALABAMA,2020,82,3
ALABAMA,2021,92,2
ALABAMA,2022,92,1
ALASKA,2004,2,0
ALASKA,2005,1,0
ARIZONA,1952,1,0
ARIZONA,1954,2,0
ARIZONA,1955,1,0
ARIZONA,1956,3,0
ARIZONA,1957,5,0
ARIZONA,1958,4,0
ARIZONA,1959,2,0
ARIZONA,1960,2,0
ARIZONA,1961,3,0
ARIZONA,1962,3,0
ARIZONA,1963,1,0
ARIZONA,1964,2,1
ARIZONA,1966,5,0
ARIZONA,1967,5,0
ARIZONA,1968,5,0
ARIZONA,1969,4,0
ARIZONA,1970,3,0
ARIZONA,1971,7,0
ARIZONA,1972,17,0
ARIZONA,1973,2,0
ARIZONA,1974,10,1
ARIZONA,1975,1,0
ARIZONA,1976,5,0
ARIZONA,1977,2,0
ARIZONA,1978,2,0
ARIZONA,1979,3,0
ARIZONA,1980,2,0
ARIZONA,1981,3,0
ARIZONA,1982,1,0
ARIZONA,1983,5,0
ARIZONA,1984,4,0
ARIZONA,1985,3,0
ARIZONA,1986,2,0
ARIZONA,1987,3,0
ARIZONA,1988,1,0
ARIZONA,1989,1,0
ARIZONA,1990,3,0
ARIZONA,1991,2,0
ARIZONA,1992,13,0
ARIZONA,1993,7,0
ARIZONA,1994,5,0
ARIZONA,1995,4,0
ARIZONA,1996,9,0
ARIZONA,1997,5,0
ARIZONA,1998,2,0
ARIZONA,1999,5,0
ARIZONA,2001,4,0
ARIZONA,2003,9,0
ARIZONA,2004,3,0
ARIZONA,2005,9,0
ARIZONA,2006,6,0
ARIZONA,2008,3,0
ARIZONA,2009,4,0
ARIZONA,2010,15,0
ARIZONA,2011,3,0
ARIZONA,2012,1,0
ARIZONA,2013,1,0
ARIZONA,2014,3,0
ARIZONA,2015,5,0
ARIZONA,2016,1,0
ARIZONA,2017,3,0
ARIZONA,2018,5,0
ARIZONA,2019,12,0
ARIZONA,2020,2,0
ARIZONA,2021,6,0
ARIZONA,2022,3,0
ARKANSAS,1950,13,2
ARKANSAS,1951,3,0
ARKANSAS,1952,29,12
ARKANSAS,1953,11,0
ARKANSAS,1954,33,1
ARKANSAS,1955,28,2
ARKANSAS,1956,17,1
ARKANSAS,1957,28,2
ARKANSAS,1958,7,0
ARKANSAS,1959,12,3
ARKANSAS,1960,29,1
ARKANSAS,1961,40,4
ARKANSAS,1962,6,0
ARKANSAS,1963,2,0
ARKANSAS,1964,29,1
ARKANSAS,1965,24,1
ARKANSAS,1966,5,0
ARKANSAS,1967,20,0
ARKANSAS,1968,23,7
ARKANSAS,1969,2,0
ARKANSAS,1970,21,1
ARKANSAS,1971,16,0
ARKANSAS,1972,14,0
ARKANSAS,1973,54,3
ARKANSAS,1974,14,1
ARKANSAS,1975,23,2
ARKANSAS,1976,33,3
ARKANSAS,1977,20,1
ARKANSAS,1978,57,2
ARKANSAS,1979,47,1
ARKANSAS,1980,26,1
ARKANSAS,1981,12,0
ARKANSAS,1982,102,11
ARKANSAS,1983,17,0
ARKANSAS,1984,31,2
ARKANSAS,1985,12,1
ARKANSAS,1986,3,0
ARKANSAS,1987,2,1
ARKANSAS,1988,21,3
ARKANSAS,1989,19,0
ARKANSAS,1990,21,2
ARKANSAS,1991,15,0
ARKANSAS,1992,6,0
ARKANSAS,1993,15,0
ARKANSAS,1994,16,0
ARKANSAS,1995,24,1
ARKANSAS,1996,33,4
ARKANSAS,1997,47,7
ARKANSAS,1998,39,1
ARKANSAS,1999,140,4
ARKANSAS,2000,42,0
ARKANSAS,2001,52,3
ARKANSAS,2002,39,1
ARKANSAS,2003,89,0
ARKANSAS,2004,58,0
ARKANSAS,2005,69,2
ARKANSAS,2006,35,0
ARKANSAS,2007,22,0
ARKANSAS,2008,110,10
ARKANSAS,2009,59,1
ARKANSAS,2010,47,3
ARKANSAS,2011,104,7
ARKANSAS,2012,23,0
ARKANSAS,2013,41,2
ARKANSAS,2014,25,4
ARKANSAS,2015,21,1
ARKANSAS,2016,28,0
ARKANSAS,2017,41,0
ARKANSAS,2018,36,1
ARKANSAS,2019,41,0
ARKANSAS,2020,46,0
ARKANSAS,2021,41,2
ARKANSAS,2022,27,0
CALIFORNIA,1951,1,0
CALIFORNIA,1952,1,0
CALIFORNIA,1953,2,0
CALIFORNIA,1954,1,0
CALIFORNIA,1955,3,0
CALIFORNIA,1956,2,0
CALIFORNIA,1957,1,0
CALIFORNIA,1958,10,0
CALIFORNIA,1959,1,0
CALIFORNIA,1960,1,0
CALIFORNIA,1961,1,0
CALIFORNIA,1962,4,0
CALIFORNIA,1964,4,0
CALIFORNIA,1965,5,0
CALIFORNIA,1966,5,0
CALIFORNIA,1967,5,0
CALIFORNIA,1969,1,0
CALIFORNIA,1970,2,0
CALIFORNIA,1971,2,0
CALIFORNIA,1972,4,0
CALIFORNIA,1973,1,0
CALIFORNIA,1974,3,0
CALIFORNIA,1975,3,0
CALIFORNIA,1976,6,0
CALIFORNIA,1977,3,0
CALIFORNIA,1978,14,0
CALIFORNIA,1979,4,0
CALIFORNIA,1980,9,0
CALIFORNIA,1981,3,0
CALIFORNIA,1982,14,0
CALIFORNIA,1983,10,0
CALIFORNIA,1984,2,0
CALIFORNIA,1985,3,0
CALIFORNIA,1986,8,0
CALIFORNIA,1987,4,0
CALIFORNIA,1988,6,0
CALIFORNIA,1989,4,0
CALIFORNIA,1990,5,0
CALIFORNIA,1991,16,0
CALIFORNIA,1992,20,0
CALIFORNIA,1993,12,0
CALIFORNIA,1994,9,0
CALIFORNIA,1995,5,0
CALIFORNIA,1996,22,0
CALIFORNIA,1997,17,0
CALIFORNIA,1998,25,0
CALIFORNIA,1999,3,0
CALIFORNIA,2000,9,0
CALIFORNIA,2001,7,0
CALIFORNIA,2002,3,0
CALIFORNIA,2004,10,0
CALIFORNIA,2005,30,0
CALIFORNIA,2006,9,0
CALIFORNIA,2007,6,0
CALIFORNIA,2008,7,0
CALIFORNIA,2009,2,0
CALIFORNIA,2010,9,0
CALIFORNIA,2011,9,0
CALIFORNIA,2012,12,0
CALIFORNIA,2013,5,0
CALIFORNIA,2014,9,0
CALIFORNIA,2015,10,0
CALIFORNIA,2016,5,0
CALIFORNIA,2017,3,0
CALIFORNIA,2018,6,0
CALIFORNIA,2019,15,0
CALIFORNIA,2020,8,0
CALIFORNIA,2021,4,0
CALIFORNIA,2022,1,0
COLORADO,1950,3,0
COLORADO,1951,8,0
COLORADO,1952,3,0
COLORADO,1953,14,0
COLORADO,1954,9,0
COLORADO,1955,19,0
COLORADO,1956,10,0
COLORADO,1957,26,0
COLORADO,1958,18,0
COLORADO,1959,1,0
COLORADO,1960,14,1
COLORADO,1961,13,0
COLORADO,1962,25,0
COLORADO,1963,3,0
COLORADO,1964,2,0
COLORADO,1965,32,0
COLORADO,1966,11,0
COLORADO,1967,21,0
COLORADO,1968,6,0
COLORADO,1969,10,0
COLORADO,1970,5,0
COLORADO,1971,16,0
COLORADO,1972,11,0
COLORADO,1973,11,0
COLORADO,1974,12,0
COLORADO,1975,20,0
COLORADO,1976,42,0
COLORADO,1977,32,0
COLORADO,1978,18,0
COLORADO,1979,37,0
COLORADO,1980,26,0
COLORADO,1981,26,0
COLORADO,1982,58,0
COLORADO,1983,32,0
