STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1996,70,0,1,0,920280,Extreme Temperature
ALABAMA,1997,13,1,0,0,252500,Extreme Temperature
ALABAMA,1998,27,0,2,0,305000,Extreme Temperature
ALABAMA,1999,43,0,3,0,3553030,Extreme Temperature
ALABAMA,2000,87,0,4,0,51622750,Extreme Temperature
ALABAMA,2001,24,0,0,0,752500,Extreme Temperature
ALABAMA,2002,39,0,0,0,550000,Extreme Temperature
ALABAMA,2003,48,0,1,0,682500,Extreme Temperature
ALABAMA,2004,8,0,0,0,250000,Extreme Temperature
ALABAMA,2005,12,0,3,0,302500,Extreme Temperature
ALABAMA,2006,2,0,0,0,25000,Extreme Temperature
ALABAMA,2007,149,31,12,1,29067780,Extreme Temperature
ALABAMA,2008,36,3,0,0,75250,Extreme Temperature
ALABAMA,2009,31,2,0,0,2855250,Extreme Temperature
ALABAMA,2010,67,5,1,0,8080000,Extreme Temperature
ALABAMA,2011,39,2,1,0,352750,Extreme Temperature
ALABAMA,2012,232,4,7,0,28292590,Extreme Temperature
ALABAMA,2013,19,0,0,0,5852500,Extreme Temperature
ALABAMA,2014,28,0,0,0,1527500,Extreme Temperature
ALABAMA,2015,32,0,0,0,6055000,Extreme Temperature
ALABAMA,2016,23,1,0,0,77500,Extreme Temperature
ALABAMA,2017,12,0,0,0,57500,Extreme Temperature
ALABAMA,2018,92,0,0,0,9325000,Extreme Temperature
ALABAMA,2019,124,0,0,0,4572500,Extreme Temperature
ALABAMA,2020,16,0,0,0,302500,Extreme Temperature
ALABAMA,2021,73,0,0,0,26985030,Extreme Temperature
ALABAMA,2022,60,0,0,0,310500,Extreme Temperature
ALASKA,1996,31,0,0,0,2852500,Extreme Temperature
ALASKA,2000,23,0,3,0,627500,Extreme Temperature
ALASKA,2001,9,0,0,0,25000,Extreme Temperature
ALASKA,2003,9,0,0,0,0,Extreme Temperature
ALASKA,2004,9,0,0,0,27500,Extreme Temperature
ALASKA,2005,4,0,0,0,2750000,Extreme Temperature
ALASKA,2006,1,0,0,0,25000,Extreme Temperature
ALASKA,2007,15,0,0,0,25250,Extreme Temperature
ALASKA,2008,30,0,0,0,550250,Extreme Temperature
ALASKA,2009,30,0,0,0,352530,Extreme Temperature
ALASKA,2010,8,0,0,0,275000,Extreme Temperature
ALASKA,2011,11,0,0,0,5000,Extreme Temperature
ALASKA,2012,41,0,0,0,308000,Extreme Temperature
ALASKA,2013,7,0,0,0,2500,Extreme Temperature
ALASKA,2014,1,0,0,0,30,Extreme Temperature
ALASKA,2018,5,0,0,0,0,Extreme Temperature
ALASKA,2020,1,0,0,0,25000,Extreme Temperature
ALASKA,2021,3,0,0,0,252500,Extreme Temperature
ALASKA,2022,4,0,0,0,277500,Extreme Temperature
AMERICAN SAMOA,2016,1,0,0,0,0,Extreme Temperature
AMERICAN SAMOA,2022,3,0,0,0,25000,Extreme Temperature
ARIZONA,2002,1,0,0,0,0,Extreme Temperature
ARIZONA,2003,1,0,0,0,0,Extreme Temperature
ARIZONA,2004,3,0,0,0,255000,Extreme Temperature
ARIZONA,2005,8,0,8,0,250,Extreme Temperature
ARIZONA,2006,1,0,0,0,0,Extreme Temperature
ARIZONA,2007,6,0,0,2,25250,Extreme Temperature
ARIZONA,2008,3,0,1,0,250000,Extreme Temperature
ARIZONA,2009,3,0,0,1,27500,Extreme Temperature
ARIZONA,2010,5,0,2,0,2550000,Extreme Temperature
ARIZONA,2011,35,0,2,0,25627530,Extreme Temperature
ARIZONA,2012,4,1,4,0,250,Extreme Temperature
ARIZONA,2013,67,3,4,0,281370250,Extreme Temperature
ARIZONA,2014,3,0,2,0,25000,Extreme Temperature
ARIZONA,2015,14,5,1,0,255500,Extreme Temperature
ARIZONA,2016,22,2,6,0,82530,Extreme Temperature
ARIZONA,2017,25,0,1,0,2530,Extreme Temperature
ARIZONA,2018,294,5,94,52,12563620,Extreme Temperature
