STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1996,34,2,1,0,280280.0,Flood
ALABAMA,1997,28,0,0,0,330500.0,Flood
ALABAMA,1998,106,1,4,0,3470000.0,Flood
ALABAMA,1999,60,1,1,0,5860280.0,Flood
ALABAMA,2000,28,0,0,0,357500.0,Flood
ALABAMA,2001,64,1,0,0,3587500.0,Flood
ALABAMA,2002,38,0,0,0,7852530.0,Flood
ALABAMA,2003,198,1,1,0,11208030.0,Flood
ALABAMA,2004,188,0,1,0,10700810.0,Flood
ALABAMA,2005,173,1,1,0,7448530.0,Flood
ALABAMA,2006,54,0,0,0,8810250.0,Flood
ALABAMA,2007,33,0,0,0,425250.0,Flood
ALABAMA,2008,75,0,1,0,3190090.0,Flood
ALABAMA,2009,292,1,2,0,32751250.0,Flood
ALABAMA,2010,110,1,0,0,7840030.0,Flood
ALABAMA,2011,160,0,0,0,31688000.0,Flood
ALABAMA,2012,93,0,0,0,3777500.0,Flood
ALABAMA,2013,176,0,0,0,55367590.0,Flood
ALABAMA,2014,91,1,2,0,26957500.0,Flood
ALABAMA,2015,125,0,3,0,82963090.0,Flood
ALABAMA,2016,71,0,0,0,803280.0,Flood
ALABAMA,2017,160,0,0,0,9207840.0,Flood
ALABAMA,2018,84,1,0,0,10457840.0,Flood
ALABAMA,2019,130,2,2,0,3667680.0,Flood
ALABAMA,2020,157,1,1,0,4200780.0,Flood
ALABAMA,2021,179,0,7,0,29892810.0,Flood
ALABAMA,2022,91,1,2,0,1913030.0,Flood
ALASKA,1996,3,0,0,0,0.0,Flood
ALASKA,1997,11,0,0,0,250000.0,Flood
ALASKA,1998,12,0,0,0,25250000.0,Flood
ALASKA,1999,13,0,0,0,27530.0,Flood
ALASKA,2000,18,0,0,0,327500.0,Flood
ALASKA,2001,12,0,0,0,0.0,Flood
ALASKA,2002,34,0,1,0,75025030.0,Flood
ALASKA,2003,24,0,0,0,3052500.0,Flood
ALASKA,2004,15,0,0,0,2525000.0,Flood
ALASKA,2005,16,0,0,0,50500.0,Flood
ALASKA,2006,23,0,0,0,352500.0,Flood
ALASKA,2007,10,0,0,0,52560.0,Flood
ALASKA,2008,25,0,1,0,27590.0,Flood
ALASKA,2009,46,0,0,0,3110500.0,Flood
ALASKA,2010,10,0,0,1,2500.0,Flood
ALASKA,2011,18,0,1,0,0.0,Flood
ALASKA,2012,30,0,1,0,580250.0,Flood
ALASKA,2013,35,0,0,0,607500.0,Flood
ALASKA,2014,31,0,0,0,807500.0,Flood
ALASKA,2015,11,0,1,0,30000.0,Flood
ALASKA,2016,15,0,0,0,7750000.0,Flood
ALASKA,2017,12,0,0,0,250.0,Flood
ALASKA,2018,11,0,0,0,502500.0,Flood
ALASKA,2019,15,0,0,0,52500.0,Flood
ALASKA,2020,17,0,0,0,527500.0,Flood
ALASKA,2021,8,0,0,0,277530.0,Flood
ALASKA,2022,8,0,0,0,250000.0,Flood
AMERICAN SAMOA,1998,1,0,0,0,0.0,Flood
AMERICAN SAMOA,1999,9,0,0,0,2500.0,Flood
AMERICAN SAMOA,2000,9,0,0,0,0.0,Flood
AMERICAN SAMOA,2001,10,0,0,0,2557500.0,Flood
AMERICAN SAMOA,2002,6,0,0,0,2500.0,Flood
AMERICAN SAMOA,2003,3,1,1,0,0.0,Flood
AMERICAN SAMOA,2004,2,0,0,0,0.0,Flood
AMERICAN SAMOA,2005,14,0,0,0,2500000.0,Flood
AMERICAN SAMOA,2006,3,0,0,0,0.0,Flood
AMERICAN SAMOA,2007,7,0,0,0,52500.0,Flood
AMERICAN SAMOA,2008,1,0,0,0,0.0,Flood
AMERICAN SAMOA,2009,2,0,0,0,0.0,Flood
