STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1996,6,0,0,0,50000.0,Hurricane
ALABAMA,1997,7,0,1,0,27500.0,Hurricane
ALABAMA,1998,17,0,1,0,1280250.0,Hurricane
ALABAMA,1999,12,0,0,0,5000.0,Hurricane
ALABAMA,2000,11,0,0,0,52500.0,Hurricane
ALABAMA,2001,6,0,0,0,2500.0,Hurricane
ALABAMA,2002,4,0,0,0,0.0,Hurricane
ALABAMA,2004,14,0,0,0,502500.0,Hurricane
ALABAMA,2005,24,0,0,0,25030.0,Hurricane
ALABAMA,2018,1,0,0,0,0.0,Hurricane
ALABAMA,2020,6,0,0,1,0.0,Hurricane
ALASKA,1997,1,0,0,0,0.0,Hurricane
ALASKA,2000,2,0,0,0,50000.0,Hurricane
AMERICAN SAMOA,1998,4,0,0,0,0.0,Hurricane
AMERICAN SAMOA,2004,4,1,0,0,252500.0,Hurricane
AMERICAN SAMOA,2005,2,0,0,0,0.0,Hurricane
AMERICAN SAMOA,2006,3,0,0,0,25000.0,Hurricane
AMERICAN SAMOA,2009,1,1,1,0,250000.0,Hurricane
AMERICAN SAMOA,2010,6,0,0,0,280000.0,Hurricane
AMERICAN SAMOA,2011,6,0,0,0,0.0,Hurricane
AMERICAN SAMOA,2012,1,0,0,0,0.0,Hurricane
AMERICAN SAMOA,2016,2,0,0,0,250000.0,Hurricane
AMERICAN SAMOA,2022,1,0,0,0,0.0,Hurricane
ARIZONA,1996,1,0,0,0,2500.0,Hurricane
ARKANSAS,1999,1,0,0,0,0.0,Hurricane
ARKANSAS,2005,4,0,0,0,0.0,Hurricane
ATLANTIC NORTH,2001,2,0,0,0,0.0,Hurricane
ATLANTIC NORTH,2002,182,1,0,0,8821030.0,Hurricane
ATLANTIC NORTH,2003,214,0,0,0,8713120.0,Hurricane
ATLANTIC NORTH,2004,198,0,2,0,10461620.0,Hurricane
ATLANTIC NORTH,2005,149,0,0,0,6148280.0,Hurricane
ATLANTIC NORTH,2006,288,0,1,0,34815750.0,Hurricane
ATLANTIC NORTH,2007,180,3,1,0,7090560.0,Hurricane
ATLANTIC NORTH,2008,551,1,2,0,298627680.0,Hurricane
ATLANTIC NORTH,2009,399,0,0,0,7803460.0,Hurricane
ATLANTIC NORTH,2010,522,0,0,0,92302390.0,Hurricane
ATLANTIC NORTH,2011,631,1,0,0,89443460.0,Hurricane
ATLANTIC NORTH,2012,732,1,1,0,51160550.0,Hurricane
ATLANTIC NORTH,2013,453,0,0,0,12946740.0,Hurricane
ATLANTIC NORTH,2014,547,0,0,0,57422650.0,Hurricane
ATLANTIC NORTH,2015,628,1,2,0,36167840.0,Hurricane
ATLANTIC NORTH,2016,782,1,2,1,130477810.0,Hurricane
ATLANTIC NORTH,2017,669,0,1,0,52320990.0,Hurricane
ATLANTIC NORTH,2018,605,1,1,0,32712310.0,Hurricane
ATLANTIC NORTH,2019,1015,0,1,0,140877860.0,Hurricane
ATLANTIC NORTH,2020,946,0,0,0,262073180.0,Hurricane
ATLANTIC NORTH,2021,998,0,0,0,241319240.0,Hurricane
ATLANTIC NORTH,2022,617,0,0,0,45759930.0,Hurricane
ATLANTIC SOUTH,1998,1,0,0,0,0.0,Hurricane
ATLANTIC SOUTH,2001,7,0,0,0,0.0,Hurricane
ATLANTIC SOUTH,2002,114,0,0,0,5796120.0,Hurricane
ATLANTIC SOUTH,2003,175,1,1,0,110705810.0,Hurricane
ATLANTIC SOUTH,2004,145,0,0,0,7222780.0,Hurricane
ATLANTIC SOUTH,2005,135,0,1,0,31670310.0,Hurricane
ATLANTIC SOUTH,2006,139,2,0,0,5470340.0,Hurricane
ATLANTIC SOUTH,2007,193,2,2,0,12811810.0,Hurricane
ATLANTIC SOUTH,2008,225,1,1,0,6296120.0,Hurricane
ATLANTIC SOUTH,2009,228,1,1,0,5124650.0,Hurricane
ATLANTIC SOUTH,2010,180,1,1,0,7284090.0,Hurricane
ATLANTIC SOUTH,2011,346,1,1,0,17128120.0,Hurricane
ATLANTIC SOUTH,2012,376,0,0,0,10701400.0,Hurricane
ATLANTIC SOUTH,2013,299,0,1,0,15203650.0,Hurricane
ATLANTIC SOUTH,2014,476,1,1,0,95109280.0,Hurricane
ATLANTIC SOUTH,2015,447,0,2,0,19967490.0,Hurricane
ATLANTIC SOUTH,2016,413,1,2,0,89788620.0,Hurricane
ATLANTIC SOUTH,2017,478,0,1,0,65480120.0,Hurricane
ATLANTIC SOUTH,2018,687,0,0,0,23429740.0,Hurricane
ATLANTIC SOUTH,2019,500,0,1,0,47860150.0,Hurricane
ATLANTIC SOUTH,2020,709,0,0,0,95263180.0,Hurricane
ATLANTIC SOUTH,2021,496,0,1,0,35571610.0,Hurricane
ATLANTIC SOUTH,2022,381,0,0,0,21806810.0,Hurricane
CALIFORNIA,1996,2,0,0,0,2500.0,Hurricane
CALIFORNIA,1997,6,0,0,0,275000.0,Hurricane
CALIFORNIA,1998,14,0,0,0,2777500.0,Hurricane
CALIFORNIA,1999,5,0,0,0,30.0,Hurricane
CALIFORNIA,2000,4,0,0,0,250000.0,Hurricane
CALIFORNIA,2001,13,0,0,0,2805000.0,Hurricane
CALIFORNIA,2006,2,0,0,0,0.0,Hurricane
CALIFORNIA,2010,4,0,0,0,25250.0,Hurricane
CALIFORNIA,2011,7,0,1,0,0.0,Hurricane
CALIFORNIA,2015,1,0,0,0,0.0,Hurricane
CALIFORNIA,2022,5,0,0,0,2500.0,Hurricane
DELAWARE,1998,2,0,0,0,25000.0,Hurricane
DELAWARE,1999,4,0,0,0,250.0,Hurricane
DELAWARE,2013,1,0,0,0,0.0,Hurricane
E PACIFIC,2001,1,0,0,0,0.0,Hurricane
E PACIFIC,2002,9,0,0,0,2530.0,Hurricane
E PACIFIC,2003,14,0,0,0,2527500.0,Hurricane
E PACIFIC,2004,16,0,0,0,75030.0,Hurricane
E PACIFIC,2005,12,0,0,0,327500.0,Hurricane
E PACIFIC,2006,8,0,0,0,250.0,Hurricane
E PACIFIC,2007,10,0,1,0,250000.0,Hurricane
E PACIFIC,2008,5,0,1,0,25250.0,Hurricane
E PACIFIC,2009,11,1,1,0,277750.0,Hurricane
E PACIFIC,2010,13,0,0,0,280030.0,Hurricane
E PACIFIC,2011,4,1,1,0,0.0,Hurricane
E PACIFIC,2012,38,0,0,0,5810060.0,Hurricane
E PACIFIC,2013,6,0,3,0,2500.0,Hurricane
E PACIFIC,2014,9,3,2,0,0.0,Hurricane
E PACIFIC,2015,4,1,1,0,250000.0,Hurricane
E PACIFIC,2016,24,0,0,0,3832780.0,Hurricane
E PACIFIC,2017,11,0,0,0,252530.0,Hurricane
E PACIFIC,2018,4,1,1,1,27500.0,Hurricane
E PACIFIC,2019,5,0,0,0,2500.0,Hurricane
E PACIFIC,2020,4,0,0,0,25000.0,Hurricane
E PACIFIC,2021,1,0,0,0,0.0,Hurricane
FLORIDA,1996,71,0,1,0,1010310.0,Hurricane
FLORIDA,1997,130,0,0,0,4991030.0,Hurricane
FLORIDA,1998,173,4,1,0,4156340.0,Hurricane
FLORIDA,1999,228,1,1,0,65389120.0,Hurricane
FLORIDA,2000,201,0,0,0,6950560.0,Hurricane
FLORIDA,2001,106,0,0,0,26457780.0,Hurricane
FLORIDA,2004,71,6,9,0,28655030.0,Hurricane
FLORIDA,2005,61,3,7,0,30933280.0,Hurricane
FLORIDA,2016,11,1,1,1,0.0,Hurricane
FLORIDA,2017,24,3,3,10,2502500.0,Hurricane
FLORIDA,2018,14,0,2,10,0.0,Hurricane
FLORIDA,2020,2,0,0,0,0.0,Hurricane
GEORGIA,1996,9,0,0,0,2500000.0,Hurricane
GEORGIA,1998,1,0,0,0,2500.0,Hurricane
GEORGIA,1999,18,0,0,0,105030.0,Hurricane
GEORGIA,2001,2,0,0,0,0.0,Hurricane
GEORGIA,2005,220,0,0,0,16895500.0,Hurricane
GEORGIA,2007,43,0,0,0,90780.0,Hurricane
GEORGIA,2016,8,2,1,0,2500250.0,Hurricane
GEORGIA,2018,22,0,1,0,305000.0,Hurricane
GUAM,1997,17,2,0,0,280030.0,Hurricane
GUAM,1998,1,0,0,0,0.0,Hurricane
GUAM,1999,3,0,0,0,0.0,Hurricane
GUAM,2000,9,0,0,0,0.0,Hurricane
GUAM,2001,4,0,1,0,25000.0,Hurricane
GUAM,2002,5,3,2,0,0.0,Hurricane
GUAM,2003,1,0,0,0,0.0,Hurricane
GUAM,2004,6,2,0,0,27500.0,Hurricane
GUAM,2005,2,0,0,0,0.0,Hurricane
GUAM,2009,1,1,0,0,0.0,Hurricane
GUAM,2012,1,0,0,0,25000.0,Hurricane
GUAM,2013,2,0,0,0,25000.0,Hurricane
