STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,2004,1,0,0,0,0.0,Landslide
ALABAMA,2009,1,0,0,0,0.0,Landslide
ALABAMA,2010,1,0,0,0,0.0,Landslide
ALABAMA,2011,3,0,0,0,2530.0,Landslide
ALASKA,2005,2,0,0,0,0.0,Landslide
ALASKA,2006,1,0,0,0,0.0,Landslide
ALASKA,2007,1,0,0,0,0.0,Landslide
ALASKA,2015,1,0,1,0,0.0,Landslide
ALASKA,2019,1,0,0,0,0.0,Landslide
ALASKA,2020,6,0,1,0,0.0,Landslide
AMERICAN SAMOA,2004,1,0,0,0,0.0,Landslide
AMERICAN SAMOA,2006,2,0,0,0,0.0,Landslide
ARIZONA,2004,1,0,0,0,0.0,Landslide
ARIZONA,2006,3,0,0,0,0.0,Landslide
ARIZONA,2007,2,0,0,0,27500.0,Landslide
ARIZONA,2008,2,0,0,0,27500.0,Landslide
ARIZONA,2010,2,0,0,0,0.0,Landslide
ARIZONA,2011,2,0,0,0,0.0,Landslide
ARIZONA,2012,1,0,0,0,0.0,Landslide
ARIZONA,2013,1,0,0,0,25000.0,Landslide
ARIZONA,2020,6,0,0,0,2500000.0,Landslide
ARIZONA,2021,2,0,0,0,0.0,Landslide
ARIZONA,2022,7,0,0,0,0.0,Landslide
ARKANSAS,2009,2,0,0,0,0.0,Landslide
ARKANSAS,2010,1,0,0,0,0.0,Landslide
CALIFORNIA,1998,1,0,0,0,0.0,Landslide
CALIFORNIA,2003,7,1,1,0,5000.0,Landslide
CALIFORNIA,2004,5,0,0,0,0.0,Landslide
CALIFORNIA,2005,41,1,2,0,7780.0,Landslide
CALIFORNIA,2006,12,0,1,0,55000.0,Landslide
CALIFORNIA,2007,1,0,0,0,0.0,Landslide
CALIFORNIA,2008,1,0,0,0,250000.0,Landslide
CALIFORNIA,2009,3,0,0,0,0.0,Landslide
CALIFORNIA,2010,11,0,0,0,500030.0,Landslide
CALIFORNIA,2011,15,0,0,0,275250.0,Landslide
CALIFORNIA,2012,19,0,0,0,2552750.0,Landslide
CALIFORNIA,2013,4,0,0,0,0.0,Landslide
CALIFORNIA,2014,22,0,0,0,52500.0,Landslide
CALIFORNIA,2015,20,0,0,0,3000000.0,Landslide
CALIFORNIA,2016,19,2,0,0,275340.0,Landslide
CALIFORNIA,2017,149,0,0,0,8978240.0,Landslide
CALIFORNIA,2018,73,1,1,0,251055280.0,Landslide
CALIFORNIA,2019,125,0,0,1,2361310.0,Landslide
CALIFORNIA,2020,14,0,0,0,550000.0,Landslide
CALIFORNIA,2021,60,1,0,0,3357500.0,Landslide
CALIFORNIA,2022,3,0,0,0,30.0,Landslide
COLORADO,2003,9,1,1,0,50000.0,Landslide
COLORADO,2004,1,0,0,0,0.0,Landslide
COLORADO,2005,18,1,0,0,627500.0,Landslide
COLORADO,2006,18,0,2,0,2580000.0,Landslide
COLORADO,2007,3,0,0,0,2525000.0,Landslide
COLORADO,2008,7,0,0,0,0.0,Landslide
COLORADO,2009,2,1,0,0,25000.0,Landslide
COLORADO,2010,7,0,0,0,250000.0,Landslide
COLORADO,2011,1,0,1,0,0.0,Landslide
COLORADO,2013,16,0,0,0,250000.0,Landslide
COLORADO,2014,3,0,1,0,0.0,Landslide
COLORADO,2015,4,0,0,0,25000.0,Landslide
COLORADO,2016,12,0,0,0,2502500.0,Landslide
COLORADO,2017,10,0,0,0,0.0,Landslide
COLORADO,2018,13,0,0,0,250000.0,Landslide
COLORADO,2019,6,0,0,0,75000.0,Landslide
COLORADO,2020,10,0,0,0,277500.0,Landslide
COLORADO,2021,50,0,0,0,6085590.0,Landslide
COLORADO,2022,15,0,0,0,275030.0,Landslide
FLORIDA,2013,1,0,0,0,0.0,Landslide
GEORGIA,2004,1,0,0,0,0.0,Landslide
GEORGIA,2006,1,0,0,0,250000.0,Landslide
GEORGIA,2015,1,0,0,0,0.0,Landslide
GEORGIA,2019,1,0,0,0,25000.0,Landslide
GEORGIA,2020,1,0,0,0,25000.0,Landslide
GEORGIA,2021,1,0,0,0,0.0,Landslide
GUAM,2004,1,0,0,0,25000.0,Landslide
GUAM,2005,1,0,0,0,0.0,Landslide
HAWAII,2013,4,0,0,0,0.0,Landslide
HAWAII,2014,2,0,0,0,0.0,Landslide
HAWAII,2018,7,0,0,0,252500.0,Landslide
HAWAII,2019,1,0,0,0,0.0,Landslide
HAWAII,2020,1,0,0,0,0.0,Landslide
HAWAII,2021,6,0,0,0,30.0,Landslide
IDAHO,1997,3,0,0,0,500000.0,Landslide
IDAHO,2003,1,0,0,0,30.0,Landslide
IDAHO,2006,1,0,0,0,0.0,Landslide
IDAHO,2009,1,0,0,0,0.0,Landslide
IDAHO,2011,11,0,0,0,3027500.0,Landslide
IDAHO,2012,7,0,0,0,2500.0,Landslide
IDAHO,2014,5,0,0,0,250.0,Landslide
IDAHO,2015,4,0,0,0,525000.0,Landslide
IDAHO,2016,1,0,0,0,0.0,Landslide
IDAHO,2017,11,0,0,0,52530.0,Landslide
IDAHO,2018,2,0,0,0,2500.0,Landslide
IDAHO,2019,3,0,0,0,500000.0,Landslide
IDAHO,2020,4,0,0,0,25000.0,Landslide
IDAHO,2021,4,0,0,0,0.0,Landslide
ILLINOIS,2003,2,0,0,0,2500000.0,Landslide
KENTUCKY,2001,1,0,0,0,2500.0,Landslide
KENTUCKY,2003,10,0,0,0,52500.0,Landslide
KENTUCKY,2004,2,0,0,0,0.0,Landslide
KENTUCKY,2010,3,0,0,0,0.0,Landslide
KENTUCKY,2012,2,0,0,0,50000.0,Landslide
KENTUCKY,2018,10,0,0,0,527500.0,Landslide
KENTUCKY,2020,2,0,0,0,25000.0,Landslide
KENTUCKY,2021,16,0,0,0,280030.0,Landslide
KENTUCKY,2022,3,0,0,0,25000.0,Landslide
MAINE,1996,1,0,0,0,0.0,Landslide
MASSACHUSETTS,2010,1,0,0,0,0.0,Landslide
MASSACHUSETTS,2014,1,0,0,0,25000.0,Landslide
MASSACHUSETTS,2020,1,0,0,0,0.0,Landslide
MINNESOTA,1996,1,0,0,0,0.0,Landslide
MISSISSIPPI,2021,1,0,0,0,0.0,Landslide
MONTANA,2004,2,1,0,0,0.0,Landslide
MONTANA,2006,1,0,0,0,0.0,Landslide
MONTANA,2011,1,0,0,0,0.0,Landslide
MONTANA,2012,1,0,0,0,0.0,Landslide
MONTANA,2013,2,0,0,0,2500.0,Landslide
MONTANA,2021,1,0,0,0,0.0,Landslide
NEVADA,2009,1,0,0,0,0.0,Landslide
NEVADA,2010,1,0,0,0,0.0,Landslide
NEVADA,2012,2,0,0,0,0.0,Landslide
NEVADA,2013,1,0,0,0,0.0,Landslide
NEVADA,2014,3,0,0,0,25000.0,Landslide
NEVADA,2017,1,0,0,0,0.0,Landslide
NEVADA,2018,9,0,0,0,25000.0,Landslide
NEVADA,2020,1,0,0,0,0.0,Landslide
NEW HAMPSHIRE,1996,1,0,0,0,2500.0,Landslide
NEW HAMPSHIRE,2000,1,0,0,0,0.0,Landslide
NEW HAMPSHIRE,2012,1,0,1,0,0.0,Landslide
NEW MEXICO,2006,1,0,0,0,0.0,Landslide
NEW YORK,2000,1,0,0,0,0.0,Landslide
NEW YORK,2004,1,0,0,0,0.0,Landslide
NEW YORK,2010,1,0,0,0,0.0,Landslide
NEW YORK,2014,1,0,0,0,0.0,Landslide
NEW YORK,2021,1,0,0,0,0.0,Landslide
NEW YORK,2022,1,0,0,0,0.0,Landslide
NORTH CAROLINA,1996,1,0,0,0,0.0,Landslide
NORTH CAROLINA,1998,1,0,0,0,0.0,Landslide
NORTH CAROLINA,2004,17,1,1,0,277750.0,Landslide
NORTH CAROLINA,2005,7,0,0,0,275000.0,Landslide
NORTH CAROLINA,2009,2,1,0,0,0.0,Landslide
NORTH CAROLINA,2010,3,0,0,0,0.0,Landslide
NORTH CAROLINA,2013,12,0,1,0,500000.0,Landslide
NORTH CAROLINA,2014,1,0,0,0,2500.0,Landslide
NORTH CAROLINA,2015,2,0,0,0,30.0,Landslide
NORTH CAROLINA,2017,3,0,0,0,0.0,Landslide
NORTH CAROLINA,2018,3,0,1,1,0.0,Landslide
NORTH CAROLINA,2019,1,0,0,0,0.0,Landslide
NORTH CAROLINA,2020,6,0,0,0,0.0,Landslide
NORTH CAROLINA,2021,2,0,1,0,27500.0,Landslide
OHIO,2011,1,0,0,0,0.0,Landslide
OHIO,2020,2,0,0,0,0.0,Landslide
OREGON,1996,19,1,1,0,25005000.0,Landslide
OREGON,1997,5,0,0,0,25500.0,Landslide
OREGON,2003,1,0,0,0,0.0,Landslide
OREGON,2004,1,0,0,0,250000.0,Landslide
OREGON,2005,4,0,0,0,0.0,Landslide
OREGON,2006,1,0,0,0,250.0,Landslide
OREGON,2007,1,0,0,0,0.0,Landslide
OREGON,2008,1,0,0,0,0.0,Landslide
OREGON,2009,13,1,0,0,5325280.0,Landslide
OREGON,2010,2,0,0,0,250000.0,Landslide
OREGON,2011,3,0,0,0,25000000.0,Landslide
OREGON,2012,10,0,0,0,25030.0,Landslide
OREGON,2016,1,0,0,0,250.0,Landslide
OREGON,2018,1,0,0,0,0.0,Landslide
OREGON,2019,2,0,0,0,0.0,Landslide
OREGON,2020,1,0,0,0,0.0,Landslide
OREGON,2021,2,1,1,0,25000.0,Landslide
OREGON,2022,4,0,0,0,0.0,Landslide
PENNSYLVANIA,2005,1,0,0,0,2500000.0,Landslide
PENNSYLVANIA,2011,2,0,0,0,0.0,Landslide
PENNSYLVANIA,2013,1,0,0,0,0.0,Landslide
PENNSYLVANIA,2016,1,0,0,0,0.0,Landslide
PENNSYLVANIA,2017,2,0,0,0,0.0,Landslide
PENNSYLVANIA,2020,1,0,0,0,0.0,Landslide
PUERTO RICO,1996,1,0,0,0,0.0,Landslide
PUERTO RICO,1997,2,1,1,0,0.0,Landslide
PUERTO RICO,2003,27,0,0,0,55000.0,Landslide
PUERTO RICO,2004,65,0,0,0,650530.0,Landslide
PUERTO RICO,2005,36,0,0,0,258000.0,Landslide
PUERTO RICO,2006,20,0,0,0,275280.0,Landslide
PUERTO RICO,2007,53,2,1,0,1052750.0,Landslide
PUERTO RICO,2008,23,0,0,0,27500.0,Landslide
PUERTO RICO,2009,14,0,0,0,2500.0,Landslide
PUERTO RICO,2010,26,0,0,0,325000.0,Landslide
PUERTO RICO,2011,38,0,0,0,300250.0,Landslide
PUERTO RICO,2012,5,0,0,0,0.0,Landslide
PUERTO RICO,2019,31,0,0,0,102750.0,Landslide
PUERTO RICO,2020,22,0,0,0,530000.0,Landslide
PUERTO RICO,2021,34,0,0,0,325000.0,Landslide
PUERTO RICO,2022,6,0,0,0,0.0,Landslide
SOUTH CAROLINA,2006,1,0,0,0,0.0,Landslide
TENNESSEE,2019,2,0,1,0,500.0,Landslide
TENNESSEE,2020,1,0,0,0,0.0,Landslide
TENNESSEE,2021,1,0,0,0,0.0,Landslide
TEXAS,2004,1,0,0,0,0.0,Landslide
TEXAS,2005,1,0,0,0,0.0,Landslide
TEXAS,2017,1,0,0,0,0.0,Landslide
UTAH,2004,1,0,0,0,0.0,Landslide
UTAH,2005,7,0,0,0,50280.0,Landslide
UTAH,2006,1,0,0,0,250000.0,Landslide
UTAH,2007,1,0,0,0,0.0,Landslide
UTAH,2011,1,0,0,0,0.0,Landslide
UTAH,2012,1,0,0,0,0.0,Landslide
UTAH,2013,16,0,0,0,500250.0,Landslide
UTAH,2014,2,0,0,0,0.0,Landslide
UTAH,2015,5,0,0,0,500000.0,Landslide
UTAH,2016,1,0,0,0,0.0,Landslide
UTAH,2017,2,0,0,0,0.0,Landslide
UTAH,2018,3,0,0,0,0.0,Landslide
UTAH,2019,3,0,0,0,2775000.0,Landslide
UTAH,2020,2,1,0,0,25000.0,Landslide
UTAH,2021,19,0,0,0,352500.0,Landslide
UTAH,2022,8,0,0,0,0.0,Landslide
VERMONT,2019,1,0,0,0,30.0,Landslide
VIRGINIA,1998,1,0,0,0,0.0,Landslide
VIRGINIA,2006,1,0,0,0,0.0,Landslide
VIRGINIA,2008,2,0,0,0,25000.0,Landslide
VIRGINIA,2013,1,0,0,0,250000.0,Landslide
VIRGINIA,2015,1,0,0,0,0.0,Landslide
VIRGINIA,2018,4,0,0,0,25000.0,Landslide
VIRGINIA,2020,9,0,0,0,27500.0,Landslide
VIRGINIA,2021,3,0,0,0,25002500.0,Landslide
WASHINGTON,1997,9,0,1,0,525250.0,Landslide
WASHINGTON,2003,1,0,0,0,0.0,Landslide
WASHINGTON,2006,5,1,0,0,250280.0,Landslide
WASHINGTON,2007,4,0,1,0,25060.0,Landslide
WASHINGTON,2008,2,0,0,0,500000.0,Landslide
WASHINGTON,2009,12,0,0,0,30500.0,Landslide
WASHINGTON,2010,6,0,0,0,27500.0,Landslide
WASHINGTON,2011,20,0,0,0,302500.0,Landslide
WASHINGTON,2012,14,0,0,0,250280.0,Landslide
WASHINGTON,2013,12,0,0,0,50000.0,Landslide
WASHINGTON,2014,20,1,1,0,2777500.0,Landslide
WASHINGTON,2015,13,0,0,0,55000.0,Landslide
WASHINGTON,2016,17,0,0,0,277530.0,Landslide
WASHINGTON,2017,12,0,0,0,305000.0,Landslide
WASHINGTON,2018,11,0,0,0,2752500.0,Landslide
WASHINGTON,2019,6,0,0,0,300000.0,Landslide
WASHINGTON,2020,2,0,0,0,0.0,Landslide
WASHINGTON,2021,7,0,0,0,27500.0,Landslide
WASHINGTON,2022,1,0,0,0,250000.0,Landslide
WEST VIRGINIA,2007,1,0,0,0,0.0,Landslide
WEST VIRGINIA,2009,1,0,0,0,2500000.0,Landslide
WEST VIRGINIA,2012,1,0,0,0,0.0,Landslide
WEST VIRGINIA,2014,2,0,0,0,0.0,Landslide
WEST VIRGINIA,2015,3,0,1,0,0.0,Landslide
WEST VIRGINIA,2019,1,0,0,0,0.0,Landslide
WEST VIRGINIA,2021,2,0,0,0,25000.0,Landslide
WEST VIRGINIA,2022,1,0,0,0,0.0,Landslide
WYOMING,2004,1,0,0,0,0.0,Landslide
WYOMING,2011,4,0,0,0,0.0,Landslide
WYOMING,2019,1,0,0,0,0.0,Landslide
