STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1996,2,1,2,0,2500.0,Marine Storm
ALABAMA,1998,6,0,1,0,300030.0,Marine Storm
ALABAMA,1999,2,1,2,0,250.0,Marine Storm
ALABAMA,2000,4,0,0,0,0.0,Marine Storm
ALABAMA,2001,17,0,1,0,55280.0,Marine Storm
ALABAMA,2002,11,1,2,0,250000.0,Marine Storm
ALABAMA,2003,3,0,2,0,250.0,Marine Storm
ALABAMA,2004,11,0,0,0,2550000.0,Marine Storm
ALABAMA,2005,119,7,2,0,3688780.0,Marine Storm
ALABAMA,2007,6,0,5,0,250.0,Marine Storm
ALABAMA,2008,67,0,6,0,857500.0,Marine Storm
ALABAMA,2009,36,0,0,0,3002500.0,Marine Storm
ALABAMA,2010,1,0,1,0,0.0,Marine Storm
ALABAMA,2011,1,0,1,0,25000.0,Marine Storm
ALABAMA,2012,5,1,3,0,25000.0,Marine Storm
ALABAMA,2013,2,0,2,0,0.0,Marine Storm
ALABAMA,2014,3,0,3,0,0.0,Marine Storm
ALABAMA,2015,2,0,1,0,0.0,Marine Storm
ALABAMA,2016,1,0,1,0,0.0,Marine Storm
ALABAMA,2017,56,1,5,0,525000.0,Marine Storm
ALABAMA,2018,43,2,4,0,26260000.0,Marine Storm
ALABAMA,2019,2,0,2,0,0.0,Marine Storm
ALABAMA,2020,69,1,2,0,2955000.0,Marine Storm
ALABAMA,2021,26,1,4,0,250250.0,Marine Storm
ALABAMA,2022,3,2,3,0,250000.0,Marine Storm
ALASKA,1996,3,0,0,0,0.0,Marine Storm
ALASKA,1997,1,0,0,0,30.0,Marine Storm
ALASKA,1998,3,0,0,0,250.0,Marine Storm
ALASKA,1999,3,1,0,0,275000.0,Marine Storm
ALASKA,2000,2,0,0,0,250000.0,Marine Storm
ALASKA,2002,6,0,0,0,252500.0,Marine Storm
ALASKA,2003,17,0,0,0,362750.0,Marine Storm
ALASKA,2004,6,0,0,0,52500.0,Marine Storm
ALASKA,2005,6,0,0,0,25005000.0,Marine Storm
ALASKA,2006,1,0,0,0,25000.0,Marine Storm
ALASKA,2007,1,0,0,0,25000.0,Marine Storm
ALASKA,2008,1,0,0,0,25000.0,Marine Storm
ALASKA,2010,2,0,0,0,0.0,Marine Storm
ALASKA,2011,3,0,0,0,275000.0,Marine Storm
ALASKA,2012,4,0,0,0,50000.0,Marine Storm
ALASKA,2014,6,0,0,0,25000.0,Marine Storm
ALASKA,2015,1,0,0,0,0.0,Marine Storm
ALASKA,2016,3,0,0,0,0.0,Marine Storm
ALASKA,2017,7,0,0,0,750000.0,Marine Storm
ALASKA,2018,1,0,0,0,0.0,Marine Storm
ALASKA,2019,1,0,0,0,0.0,Marine Storm
ALASKA,2022,1,0,0,0,0.0,Marine Storm
AMERICAN SAMOA,1998,3,0,0,0,25250.0,Marine Storm
AMERICAN SAMOA,1999,15,0,0,0,30250.0,Marine Storm
AMERICAN SAMOA,2000,18,1,0,0,280000.0,Marine Storm
AMERICAN SAMOA,2001,13,0,0,0,250250.0,Marine Storm
AMERICAN SAMOA,2002,10,0,0,0,55000.0,Marine Storm
AMERICAN SAMOA,2003,6,0,0,0,25000.0,Marine Storm
AMERICAN SAMOA,2004,9,1,0,0,3300000.0,Marine Storm
AMERICAN SAMOA,2005,20,1,0,0,102500.0,Marine Storm
AMERICAN SAMOA,2007,6,0,1,0,0.0,Marine Storm
AMERICAN SAMOA,2008,7,0,0,0,25000.0,Marine Storm
AMERICAN SAMOA,2009,1,0,0,0,0.0,Marine Storm
AMERICAN SAMOA,2010,2,0,0,0,0.0,Marine Storm
AMERICAN SAMOA,2011,2,1,1,0,2500.0,Marine Storm
AMERICAN SAMOA,2013,2,0,0,0,0.0,Marine Storm
AMERICAN SAMOA,2015,11,0,1,0,5000.0,Marine Storm
AMERICAN SAMOA,2016,1,0,0,0,0.0,Marine Storm
AMERICAN SAMOA,2018,10,0,0,0,25052500.0,Marine Storm
AMERICAN SAMOA,2019,6,0,3,0,277500.0,Marine Storm
AMERICAN SAMOA,2020,7,0,3,0,0.0,Marine Storm
AMERICAN SAMOA,2021,5,0,2,0,300030.0,Marine Storm
AMERICAN SAMOA,2022,1,0,0,0,25000.0,Marine Storm
ARIZONA,1997,1,0,0,0,0.0,Marine Storm
ARKANSAS,2005,47,0,0,0,2825000.0,Marine Storm
