STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1955,22,0,0,0,28330500.0,Thunderstorm
ALABAMA,1956,19,0,0,0,1390250.0,Thunderstorm
ALABAMA,1957,19,0,0,0,1633000.0,Thunderstorm
ALABAMA,1958,13,0,0,0,3132500.0,Thunderstorm
ALABAMA,1959,17,0,0,0,5232780.0,Thunderstorm
ALABAMA,1960,18,0,0,0,8078250.0,Thunderstorm
ALABAMA,1961,28,0,0,0,53995000.0,Thunderstorm
ALABAMA,1962,38,0,0,0,3959060.0,Thunderstorm
ALABAMA,1963,34,0,0,0,5068000.0,Thunderstorm
ALABAMA,1964,32,0,0,0,3368000.0,Thunderstorm
ALABAMA,1965,32,0,0,0,9580340.0,Thunderstorm
ALABAMA,1966,14,0,0,0,13125000.0,Thunderstorm
ALABAMA,1967,71,0,0,0,33831500.0,Thunderstorm
ALABAMA,1968,74,0,0,0,11801000.0,Thunderstorm
ALABAMA,1969,46,0,0,0,8598000.0,Thunderstorm
ALABAMA,1970,48,0,0,0,37099120.0,Thunderstorm
ALABAMA,1971,112,0,0,0,22580060.0,Thunderstorm
ALABAMA,1972,45,0,0,0,5945500.0,Thunderstorm
ALABAMA,1973,133,0,0,0,13546060.0,Thunderstorm
ALABAMA,1974,130,0,0,0,113181500.0,Thunderstorm
ALABAMA,1975,98,0,0,0,15318560.0,Thunderstorm
ALABAMA,1976,70,0,0,0,17902780.0,Thunderstorm
ALABAMA,1977,109,0,0,0,12356060.0,Thunderstorm
ALABAMA,1978,97,0,0,0,18378340.0,Thunderstorm
ALABAMA,1979,71,0,0,0,10063900.0,Thunderstorm
ALABAMA,1980,105,0,0,0,7444590.0,Thunderstorm
ALABAMA,1981,99,0,0,0,12349500.0,Thunderstorm
ALABAMA,1982,144,0,0,0,14861340.0,Thunderstorm
ALABAMA,1983,231,2,1,0,20429650.0,Thunderstorm
ALABAMA,1984,240,6,1,0,18480900.0,Thunderstorm
ALABAMA,1985,287,8,2,0,30117900.0,Thunderstorm
ALABAMA,1986,246,12,2,0,13329620.0,Thunderstorm
ALABAMA,1987,148,4,0,0,11177120.0,Thunderstorm
ALABAMA,1988,260,0,0,0,21898680.0,Thunderstorm
ALABAMA,1989,344,5,0,0,28919710.0,Thunderstorm
ALABAMA,1990,418,17,0,0,46096120.0,Thunderstorm
ALABAMA,1991,242,7,0,0,34002420.0,Thunderstorm
ALABAMA,1992,319,5,2,0,11399710.0,Thunderstorm
ALABAMA,1993,109,3,0,0,7018370.0,Thunderstorm
ALABAMA,1994,247,6,1,0,108379620.0,Thunderstorm
ALABAMA,1995,567,5,1,0,67351420.0,Thunderstorm
ALABAMA,1996,559,10,2,0,97466180.0,Thunderstorm
ALABAMA,1997,594,13,1,0,127603680.0,Thunderstorm
ALABAMA,1998,744,11,3,0,58465740.0,Thunderstorm
ALABAMA,1999,525,10,3,0,29297580.0,Thunderstorm
ALABAMA,2000,756,16,3,0,30257800.0,Thunderstorm
ALABAMA,2001,573,23,7,0,276465800.0,Thunderstorm
ALABAMA,2002,579,18,4,0,322267870.0,Thunderstorm
ALABAMA,2003,843,5,0,0,97145680.0,Thunderstorm
ALABAMA,2004,545,10,3,0,18364280.0,Thunderstorm
