STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1950,2,1,0,0,27500.0,Tornado
ALABAMA,1951,5,5,0,0,1002500.0,Tornado
ALABAMA,1952,13,8,3,0,6302500.0,Tornado
ALABAMA,1953,22,14,4,0,1230090.0,Tornado
ALABAMA,1954,10,5,0,0,607530.0,Tornado
ALABAMA,1955,8,4,1,0,1002500.0,Tornado
ALABAMA,1956,7,3,1,0,1075000.0,Tornado
ALABAMA,1957,51,15,4,0,7682750.0,Tornado
ALABAMA,1958,23,3,1,0,2430500.0,Tornado
ALABAMA,1959,9,2,0,0,78000.0,Tornado
ALABAMA,1960,11,1,0,0,5530060.0,Tornado
ALABAMA,1961,24,9,0,0,3192780.0,Tornado
ALABAMA,1962,11,1,0,0,5057750.0,Tornado
ALABAMA,1963,22,8,2,0,1910500.0,Tornado
ALABAMA,1964,26,9,2,0,4665000.0,Tornado
ALABAMA,1965,11,4,0,0,10777560.0,Tornado
ALABAMA,1966,11,4,1,0,5175250.0,Tornado
ALABAMA,1967,26,11,3,0,1962530.0,Tornado
ALABAMA,1968,14,5,1,0,1352750.0,Tornado
ALABAMA,1969,15,3,1,0,5930000.0,Tornado
ALABAMA,1970,14,2,1,0,25582530.0,Tornado
ALABAMA,1971,23,4,2,0,6437530.0,Tornado
ALABAMA,1972,16,4,1,0,887750.0,Tornado
ALABAMA,1973,53,24,5,0,9893090.0,Tornado
ALABAMA,1974,55,23,12,0,7250780.0,Tornado
ALABAMA,1975,35,9,2,0,2812780.0,Tornado
ALABAMA,1976,30,11,0,0,4247560.0,Tornado
ALABAMA,1977,22,8,2,0,3910280.0,Tornado
ALABAMA,1978,22,5,0,0,932840.0,Tornado
ALABAMA,1979,26,8,0,0,4550500.0,Tornado
ALABAMA,1980,29,5,0,0,2165500.0,Tornado
ALABAMA,1981,14,3,1,0,657750.0,Tornado
ALABAMA,1982,28,5,0,0,3615750.0,Tornado
ALABAMA,1983,49,11,2,0,6070530.0,Tornado
ALABAMA,1984,46,6,1,0,9787590.0,Tornado
ALABAMA,1985,48,9,1,0,1335780.0,Tornado
ALABAMA,1986,20,6,1,0,310250.0,Tornado
ALABAMA,1987,7,0,1,0,552750.0,Tornado
ALABAMA,1988,20,3,0,0,85000.0,Tornado
ALABAMA,1989,25,4,1,0,4037500.0,Tornado
ALABAMA,1990,19,7,0,0,305500.0,Tornado
ALABAMA,1991,10,3,1,0,280.0,Tornado
ALABAMA,1992,28,15,1,0,3360000.0,Tornado
ALABAMA,1993,8,2,0,0,300000.0,Tornado
ALABAMA,1994,19,8,1,0,3355250.0,Tornado
ALABAMA,1995,35,8,2,0,3360500.0,Tornado
ALABAMA,1996,37,9,3,0,575500.0,Tornado
ALABAMA,1997,30,10,1,0,252530.0,Tornado
ALABAMA,1998,57,5,2,0,1455340.0,Tornado
ALABAMA,1999,23,1,0,0,53000.0,Tornado
ALABAMA,2000,52,8,3,0,332810.0,Tornado
ALABAMA,2001,63,15,3,0,3632750.0,Tornado
ALABAMA,2002,44,12,5,0,630030.0,Tornado
ALABAMA,2003,45,3,0,0,277500.0,Tornado
ALABAMA,2004,65,7,1,0,3137500.0,Tornado
ALABAMA,2005,86,4,0,0,29035530.0,Tornado
ALABAMA,2006,74,5,1,0,433310.0,Tornado
ALABAMA,2007,50,7,2,0,50555000.0,Tornado
ALABAMA,2008,112,7,3,0,16732750.0,Tornado
ALABAMA,2009,91,6,1,0,26955280.0,Tornado
ALABAMA,2010,46,5,0,1,33327500.0,Tornado
ALABAMA,2011,217,35,28,2,5637750.0,Tornado
ALABAMA,2012,67,5,3,0,282500.0,Tornado
ALABAMA,2013,28,4,0,0,2552750.0,Tornado
ALABAMA,2014,67,10,1,0,2885030.0,Tornado
ALABAMA,2015,35,2,0,0,1032750.0,Tornado
ALABAMA,2016,76,6,2,0,3558030.0,Tornado
ALABAMA,2017,68,4,0,0,810780.0,Tornado
ALABAMA,2018,56,3,0,0,320280.0,Tornado
ALABAMA,2019,94,6,2,0,9583030.0,Tornado
ALABAMA,2020,82,4,3,0,730250.0,Tornado
ALABAMA,2021,92,14,2,0,1892750.0,Tornado
ALABAMA,2022,92,4,1,0,13392530.0,Tornado
ALASKA,2004,2,0,0,0,2500.0,Tornado
ALASKA,2005,1,0,0,0,0.0,Tornado
ARIZONA,1952,1,0,0,0,2500.0,Tornado
ARIZONA,1954,2,0,0,0,2750.0,Tornado
ARIZONA,1955,1,0,0,0,25000.0,Tornado
ARIZONA,1956,3,0,0,0,5000.0,Tornado
ARIZONA,1957,5,0,0,0,25325000.0,Tornado
ARIZONA,1958,4,0,0,0,275060.0,Tornado
ARIZONA,1959,2,1,0,0,2750000.0,Tornado
ARIZONA,1960,2,0,0,0,27500.0,Tornado
ARIZONA,1961,3,2,0,0,27500.0,Tornado
ARIZONA,1962,3,0,0,0,2502500.0,Tornado
ARIZONA,1963,1,0,0,0,25000.0,Tornado
ARIZONA,1964,2,1,1,0,25250.0,Tornado
ARIZONA,1966,5,1,0,0,27750.0,Tornado
