STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,2000,1,0,0,0,0.0,Wildfire
ALABAMA,2010,2,0,0,0,0.0,Wildfire
ALABAMA,2011,2,0,0,0,250000.0,Wildfire
ALABAMA,2012,1,0,0,0,30.0,Wildfire
ALABAMA,2014,3,0,0,0,252500.0,Wildfire
ALABAMA,2015,1,0,0,0,0.0,Wildfire
ALASKA,1996,2,0,0,0,0.0,Wildfire
ALASKA,1999,3,0,0,0,0.0,Wildfire
ALASKA,2000,1,1,0,0,250000.0,Wildfire
ALASKA,2001,3,0,0,0,0.0,Wildfire
ALASKA,2002,3,0,0,0,25000.0,Wildfire
ALASKA,2003,6,0,0,0,2500000.0,Wildfire
ALASKA,2004,9,0,0,0,500000.0,Wildfire
ALASKA,2005,11,0,0,0,300000.0,Wildfire
ALASKA,2006,1,0,0,0,0.0,Wildfire
ALASKA,2009,3,0,0,0,275000.0,Wildfire
ALASKA,2010,1,0,0,0,0.0,Wildfire
ALASKA,2015,4,2,0,0,250000.0,Wildfire
ALASKA,2016,1,1,0,0,0.0,Wildfire
ALASKA,2022,11,0,0,0,2500.0,Wildfire
ARIZONA,1996,9,0,0,0,0.0,Wildfire
ARIZONA,2000,14,0,0,0,75000.0,Wildfire
ARIZONA,2001,1,0,0,0,250000000.0,Wildfire
ARIZONA,2002,14,0,0,0,275000.0,Wildfire
ARIZONA,2003,4,0,0,0,27500.0,Wildfire
ARIZONA,2004,9,0,0,0,50000.0,Wildfire
ARIZONA,2005,3,1,0,0,0.0,Wildfire
ARIZONA,2006,5,0,0,0,0.0,Wildfire
ARIZONA,2007,3,0,0,0,0.0,Wildfire
ARIZONA,2009,13,1,0,0,2530.0,Wildfire
ARIZONA,2010,5,0,0,0,0.0,Wildfire
ARIZONA,2011,18,0,0,0,302500.0,Wildfire
ARIZONA,2012,11,1,0,0,0.0,Wildfire
ARIZONA,2013,6,0,1,0,25000.0,Wildfire
ARIZONA,2014,11,0,0,0,2500250.0,Wildfire
ARIZONA,2015,5,0,0,0,0.0,Wildfire
ARIZONA,2016,13,0,0,0,527500.0,Wildfire
ARIZONA,2017,31,1,0,0,302750.0,Wildfire
ARIZONA,2018,10,0,0,0,0.0,Wildfire
ARIZONA,2019,1,0,0,0,0.0,Wildfire
ARIZONA,2020,32,1,0,1,75250.0,Wildfire
ARIZONA,2021,30,0,0,0,575500.0,Wildfire
ARIZONA,2022,23,0,0,0,752500.0,Wildfire
ARKANSAS,2006,3,0,0,0,2500.0,Wildfire
ARKANSAS,2008,1,1,0,0,25000.0,Wildfire
ARKANSAS,2009,3,0,0,0,25000.0,Wildfire
ARKANSAS,2010,20,0,0,0,2530000.0,Wildfire
ARKANSAS,2011,70,2,0,0,902750.0,Wildfire
ARKANSAS,2012,53,4,0,0,405250.0,Wildfire
ARKANSAS,2013,7,0,0,0,250000.0,Wildfire
ARKANSAS,2014,15,0,0,0,775000.0,Wildfire
ARKANSAS,2016,1,0,0,0,25000.0,Wildfire
ARKANSAS,2017,4,1,0,0,30.0,Wildfire
ARKANSAS,2020,1,1,1,0,30.0,Wildfire
CALIFORNIA,1996,12,5,0,0,275000.0,Wildfire
CALIFORNIA,1997,20,1,0,0,2802500.0,Wildfire
CALIFORNIA,1998,15,3,0,0,307750.0,Wildfire
CALIFORNIA,1999,85,26,1,0,1367530.0,Wildfire
CALIFORNIA,2000,32,6,1,0,2557500.0,Wildfire
CALIFORNIA,2001,81,12,1,0,5610500.0,Wildfire
CALIFORNIA,2002,124,21,1,0,6321000.0,Wildfire
CALIFORNIA,2003,130,24,4,0,6000310.0,Wildfire
CALIFORNIA,2004,63,11,0,0,1157530.0,Wildfire
CALIFORNIA,2005,35,5,0,0,677810.0,Wildfire
CALIFORNIA,2006,75,9,2,0,3635250.0,Wildfire
CALIFORNIA,2007,67,16,2,0,26080310.0,Wildfire
CALIFORNIA,2008,67,3,1,1,853000.0,Wildfire
CALIFORNIA,2009,40,8,0,1,3025250.0,Wildfire
CALIFORNIA,2010,24,4,0,0,575030.0,Wildfire
CALIFORNIA,2011,21,6,0,0,25000.0,Wildfire
CALIFORNIA,2012,22,5,1,0,330000.0,Wildfire
CALIFORNIA,2013,45,3,1,0,1077780.0,Wildfire
CALIFORNIA,2014,59,3,1,1,5828250.0,Wildfire
CALIFORNIA,2015,34,4,3,0,60280.0,Wildfire
CALIFORNIA,2016,41,1,2,0,325000.0,Wildfire
CALIFORNIA,2017,59,6,8,0,1392500.0,Wildfire
CALIFORNIA,2018,65,11,9,3,5985000.0,Wildfire
CALIFORNIA,2019,58,14,1,3,6680000.0,Wildfire
CALIFORNIA,2020,117,15,9,1,32545250.0,Wildfire
CALIFORNIA,2021,69,2,1,0,3132500.0,Wildfire
CALIFORNIA,2022,23,2,0,0,530030.0,Wildfire
COLORADO,1996,1,0,0,0,30.0,Wildfire
COLORADO,1998,7,0,0,0,2525000.0,Wildfire
COLORADO,1999,7,0,0,0,127500.0,Wildfire
COLORADO,2000,49,0,0,0,552500.0,Wildfire
COLORADO,2001,13,0,0,0,25000.0,Wildfire
COLORADO,2002,64,2,0,0,3902500.0,Wildfire
COLORADO,2003,29,0,0,0,3407500.0,Wildfire
COLORADO,2004,15,0,0,0,2527500.0,Wildfire
COLORADO,2005,16,0,0,0,25000.0,Wildfire
COLORADO,2006,22,1,0,0,2777750.0,Wildfire
COLORADO,2007,9,0,0,0,25000.0,Wildfire
COLORADO,2008,9,1,0,2,250000.0,Wildfire
COLORADO,2009,3,1,0,0,0.0,Wildfire
COLORADO,2010,17,0,0,0,27500.0,Wildfire
COLORADO,2011,27,2,0,0,27500.0,Wildfire
COLORADO,2012,30,1,2,0,280000.0,Wildfire
COLORADO,2013,13,1,0,0,0.0,Wildfire
COLORADO,2014,2,0,0,0,0.0,Wildfire
COLORADO,2015,1,0,0,0,0.0,Wildfire
COLORADO,2016,10,0,0,0,750000.0,Wildfire
COLORADO,2017,8,1,0,0,250000.0,Wildfire
COLORADO,2018,80,0,0,0,25912780.0,Wildfire
COLORADO,2019,25,0,0,0,50030.0,Wildfire
COLORADO,2020,45,0,1,0,635280.0,Wildfire
COLORADO,2021,29,2,2,0,5540500.0,Wildfire
COLORADO,2022,10,0,0,0,5000.0,Wildfire
CONNECTICUT,2002,1,0,0,0,0.0,Wildfire
DELAWARE,2000,1,0,0,0,0.0,Wildfire
DELAWARE,2002,6,0,0,0,25000.0,Wildfire
DELAWARE,2004,1,0,0,0,0.0,Wildfire
DELAWARE,2005,4,0,0,0,27500.0,Wildfire
DELAWARE,2006,3,1,0,0,0.0,Wildfire
DELAWARE,2012,1,0,0,0,0.0,Wildfire
DELAWARE,2013,1,0,0,0,0.0,Wildfire
FLORIDA,1996,2,0,0,0,2500.0,Wildfire
FLORIDA,1998,33,10,0,0,557500.0,Wildfire
FLORIDA,1999,97,8,0,0,670280.0,Wildfire
FLORIDA,2000,53,2,0,0,662530.0,Wildfire
FLORIDA,2001,37,1,0,0,5603250.0,Wildfire
FLORIDA,2003,1,1,0,0,0.0,Wildfire
FLORIDA,2004,7,0,0,0,30030.0,Wildfire
FLORIDA,2005,1,0,0,0,0.0,Wildfire
FLORIDA,2006,1,0,0,0,2500.0,Wildfire
FLORIDA,2007,20,0,0,0,1182530.0,Wildfire
FLORIDA,2008,15,1,0,1,30000.0,Wildfire
FLORIDA,2009,5,0,0,0,0.0,Wildfire
FLORIDA,2010,6,0,1,0,0.0,Wildfire
FLORIDA,2011,37,0,0,0,875530.0,Wildfire
FLORIDA,2012,18,0,0,1,5255250.0,Wildfire
FLORIDA,2013,5,0,0,0,0.0,Wildfire
FLORIDA,2014,1,0,0,0,0.0,Wildfire
FLORIDA,2015,1,0,0,0,0.0,Wildfire
FLORIDA,2016,13,0,0,0,255000.0,Wildfire
FLORIDA,2017,35,1,0,0,3160060.0,Wildfire
FLORIDA,2018,7,0,0,0,500.0,Wildfire
FLORIDA,2019,5,0,0,0,0.0,Wildfire
FLORIDA,2020,9,0,0,0,55000.0,Wildfire
FLORIDA,2021,5,0,0,0,0.0,Wildfire
FLORIDA,2022,1,0,0,0,0.0,Wildfire
GEORGIA,1999,1,0,0,0,25000.0,Wildfire
GEORGIA,2000,1,0,0,0,0.0,Wildfire
GEORGIA,2004,3,1,0,0,0.0,Wildfire
GEORGIA,2005,1,0,0,0,30.0,Wildfire
GEORGIA,2007,8,1,0,0,52750.0,Wildfire
GEORGIA,2008,6,0,0,0,77500.0,Wildfire
GEORGIA,2009,22,0,0,0,27500.0,Wildfire
GEORGIA,2010,19,0,0,0,25030.0,Wildfire
GEORGIA,2011,26,0,0,0,50000.0,Wildfire
GEORGIA,2012,34,0,0,0,1290000.0,Wildfire
GEORGIA,2013,21,0,0,0,5577560.0,Wildfire
GEORGIA,2014,34,0,0,0,3185250.0,Wildfire
GEORGIA,2016,12,0,0,0,275000.0,Wildfire
GEORGIA,2017,1,0,0,0,0.0,Wildfire
GEORGIA,2018,1,0,0,0,25000.0,Wildfire
GEORGIA,2019,1,0,0,0,0.0,Wildfire
GEORGIA,2021,2,0,0,0,0.0,Wildfire
GUAM,1998,4,0,0,0,2500.0,Wildfire
GUAM,2001,1,1,0,0,0.0,Wildfire
GUAM,2016,1,0,0,0,250.0,Wildfire
HAWAII,1998,6,0,0,0,2500000.0,Wildfire
HAWAII,1999,4,0,0,0,250.0,Wildfire
HAWAII,2000,10,1,0,0,2500.0,Wildfire
HAWAII,2001,10,1,0,0,0.0,Wildfire
HAWAII,2002,16,0,0,0,575000.0,Wildfire
HAWAII,2003,27,2,0,0,580060.0,Wildfire
HAWAII,2004,8,1,0,0,305060.0,Wildfire
HAWAII,2005,23,0,0,0,500250.0,Wildfire
