STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1996,213,0,3,0,11308620.0,Winter Storm
ALABAMA,1997,59,0,0,0,28335000.0,Winter Storm
ALABAMA,1998,42,0,1,0,607500.0,Winter Storm
ALABAMA,1999,43,0,1,0,825250.0,Winter Storm
ALABAMA,2000,60,0,0,0,208000.0,Winter Storm
ALABAMA,2001,18,0,0,0,8027500.0,Winter Storm
ALABAMA,2002,44,0,0,0,660090.0,Winter Storm
ALABAMA,2003,6,0,0,0,250000.0,Winter Storm
ALABAMA,2004,14,0,0,0,60.0,Winter Storm
ALABAMA,2005,23,0,0,0,857750.0,Winter Storm
ALABAMA,2006,4,0,0,0,2500000.0,Winter Storm
ALABAMA,2007,4,0,0,0,25000.0,Winter Storm
ALABAMA,2008,49,0,0,0,302500.0,Winter Storm
ALABAMA,2009,44,0,0,0,127500.0,Winter Storm
ALABAMA,2010,226,1,1,6,18713400.0,Winter Storm
ALABAMA,2011,114,0,0,2,4212840.0,Winter Storm
ALABAMA,2012,8,0,0,0,275000.0,Winter Storm
ALABAMA,2013,56,0,0,0,407500.0,Winter Storm
ALABAMA,2014,182,0,1,6,29345090.0,Winter Storm
ALABAMA,2015,122,0,0,0,256555750.0,Winter Storm
ALABAMA,2016,15,0,0,0,75280.0,Winter Storm
ALABAMA,2017,52,0,0,0,407780.0,Winter Storm
ALABAMA,2018,91,0,0,0,7070680.0,Winter Storm
ALABAMA,2019,28,0,0,0,527500.0,Winter Storm
ALABAMA,2020,8,0,0,0,0.0,Winter Storm
ALABAMA,2021,63,0,0,0,3012590.0,Winter Storm
ALABAMA,2022,42,0,0,0,25405280.0,Winter Storm
ALASKA,1996,15,2,1,0,52500.0,Winter Storm
ALASKA,1997,21,0,0,0,2750.0,Winter Storm
ALASKA,1998,78,0,0,0,56717500.0,Winter Storm
ALASKA,1999,204,1,2,0,36206560.0,Winter Storm
ALASKA,2000,127,0,3,0,6675530.0,Winter Storm
ALASKA,2001,158,5,2,0,8164000.0,Winter Storm
ALASKA,2002,186,0,0,0,3688590.0,Winter Storm
ALASKA,2003,143,0,0,0,6290560.0,Winter Storm
ALASKA,2004,175,1,1,0,88215680.0,Winter Storm
ALASKA,2005,115,3,0,0,4383280.0,Winter Storm
ALASKA,2006,164,1,1,0,63365560.0,Winter Storm
ALASKA,2007,127,0,0,0,53553340.0,Winter Storm
ALASKA,2008,204,0,0,1,5521060.0,Winter Storm
ALASKA,2009,295,0,1,0,11248620.0,Winter Storm
ALASKA,2010,152,0,0,0,261840250.0,Winter Storm
ALASKA,2011,276,0,1,0,30808560.0,Winter Storm
ALASKA,2012,195,0,0,1,3633060.0,Winter Storm
ALASKA,2013,170,0,0,0,13565780.0,Winter Storm
ALASKA,2014,74,0,0,1,6415310.0,Winter Storm
ALASKA,2015,129,0,1,1,83275530.0,Winter Storm
ALASKA,2016,66,0,0,1,33955000.0,Winter Storm
ALASKA,2017,124,0,0,0,7300000.0,Winter Storm
ALASKA,2018,46,0,0,0,655250.0,Winter Storm
ALASKA,2019,75,0,0,0,3887780.0,Winter Storm
ALASKA,2020,158,0,0,0,3710310.0,Winter Storm
ALASKA,2021,219,0,0,0,9805810.0,Winter Storm
