STATE,YEAR,EVENT_COUNT,INJURIES_DIRECT_COUNT,DEATHS_DIRECT_COUNT,DEATHS_INDIRECT_COUNT,DAMAGE_PROPERTY_EVENT_SUM,EVENT
ALABAMA,1998,2,2,2,2,2500.0,Draught
ALABAMA,1999,6,6,6,6,250.0,Draught
ALABAMA,2000,6,6,6,6,25000.0,Draught
ALABAMA,2004,2,2,2,2,0.0,Draught
ALABAMA,2006,112,112,112,112,605310.0,Draught
ALABAMA,2007,464,464,464,464,63244060.0,Draught
ALABAMA,2008,364,364,364,364,81226370.0,Draught
ALABAMA,2010,108,108,108,108,10938000.0,Draught
ALABAMA,2011,295,295,295,295,49190750.0,Draught
ALABAMA,2012,239,239,239,239,8253310.0,Draught
ALABAMA,2013,43,43,43,43,805000.0,Draught
ALABAMA,2016,284,284,284,284,39254280.0,Draught
ALABAMA,2017,93,93,93,93,1595430.0,Draught
ALABAMA,2018,44,44,44,44,250537870.0,Draught
ALABAMA,2019,44,44,44,44,50000.0,Draught
ALASKA,1996,2,2,2,2,0.0,Draught
ALASKA,1997,1,1,1,1,0.0,Draught
AMERICAN SAMOA,1998,16,16,16,16,3275000.0,Draught
ARIZONA,1999,1,1,1,1,0.0,Draught
ARIZONA,2002,5,5,5,5,275000.0,Draught
ARIZONA,2006,1,1,1,1,0.0,Draught
ARIZONA,2011,121,121,121,121,8445310.0,Draught
ARIZONA,2012,18,18,18,18,335000.0,Draught
ARIZONA,2013,28,28,28,28,2557500.0,Draught
ARIZONA,2014,62,62,62,62,6150000.0,Draught
ARIZONA,2015,12,12,12,12,52500.0,Draught
ARIZONA,2018,72,72,72,72,1885250.0,Draught
ARIZONA,2020,60,60,60,60,855250.0,Draught
ARIZONA,2021,106,106,106,106,1397530.0,Draught
ARIZONA,2022,14,14,14,14,250000.0,Draught
ARKANSAS,1996,6,6,6,6,250000.0,Draught
ARKANSAS,2000,45,45,45,45,2830030.0,Draught
ARKANSAS,2005,28,28,28,28,305000.0,Draught
ARKANSAS,2006,37,37,37,37,505280.0,Draught
ARKANSAS,2007,36,36,36,36,775000.0,Draught
ARKANSAS,2010,167,167,167,167,32643500.0,Draught
ARKANSAS,2011,377,377,377,377,268299810.0,Draught
ARKANSAS,2012,452,452,452,452,62014400.0,Draught
ARKANSAS,2013,144,144,144,144,1485340.0,Draught
ARKANSAS,2015,28,28,28,28,55000.0,Draught
ARKANSAS,2016,46,46,46,46,25100250.0,Draught
ARKANSAS,2017,101,101,101,101,56565340.0,Draught
ARKANSAS,2018,35,35,35,35,587530.0,Draught
ARKANSAS,2019,8,8,8,8,0.0,Draught
ARKANSAS,2021,10,10,10,10,325000.0,Draught
ARKANSAS,2022,44,44,44,44,532530.0,Draught
CALIFORNIA,1999,2,2,2,2,0.0,Draught
CALIFORNIA,2000,8,8,8,8,2750.0,Draught
CALIFORNIA,2001,4,4,4,4,275000.0,Draught
CALIFORNIA,2002,1,1,1,1,0.0,Draught
CALIFORNIA,2003,5,5,5,5,0.0,Draught
CALIFORNIA,2004,8,8,8,8,30000.0,Draught
CALIFORNIA,2007,77,77,77,77,6127750.0,Draught
